id,category,item,manufacturer,model,qty,status,rating,interface,purpose,vendor_url,notes
whizbang,monitoring,Battery monitor shunt,MidNite Solar,WhizBang Jr,1,deferred,TBD,Classic accessory / shunt,Optional independent current/SOC cross-check,,Deferred unless BMS/ESM-100 telemetry proves insufficient
temp-ds18b20,monitoring,Temperature sensors,Generic,DS18B20 stainless waterproof probe,10,on-hand,3.3 V,1-Wire GPIO,Battery/enclosure/heater-plate/ambient temperature,,Map sensor IDs to physical locations during installation
temp-dht22,monitoring,Temperature/humidity sensor,ASAIR,AM2302 / DHT22,1,on-hand,3.3-5 V,GPIO single-wire,Utility-room ambient temperature and humidity,,Advisory only; not for safety cutoff
batteries,storage,Rack battery,Eco-Worthy,Cubix 100,2,installed,48 V 100 Ah each (200 Ah bank),Bluetooth/Wi-Fi/RS485/CAN/RS232,Energy storage,,LiFePO4 with built-in 100 A BMS per unit; 56.1 x 48.3 x 14.3 cm each
classic-200,charging,Charge controller,MidNite Solar,Classic 200,1,installed,48 V battery / PV input per spec,Modbus TCP (192.168.0.10),Solar charging for PV array 0,,Supervisor reads telemetry and writes charge settings over Modbus TCP
victron-mppt,charging,Charge controller,Victron Energy,BlueSolar MPPT 150/85 VE.Can,1,ordered,48 V battery / 150 V max PV / 85 A out,VE.Can RJ45,Candidate array 1 controller,,Order may be in limbo; 150 V absolute PV limit rules out 4s CS6X strings; see subsystem doc for selection rationale
epever-tep10425,charging,Charge controller,EPEver,TEP10425,1,on-hand,48 V battery / 250 V max PV Voc cold / 100 A / 5200 W,RS485 Modbus RJ45 + BMS/CAN COM port,Likely array 1 controller,,Probable pick for PV voltage headroom; see subsystem doc for selection rationale and manual notes
magnasine,conversion,Inverter/charger,Magnum Energy,MagnaSine MS4448PAE,1,installed,48 V DC / split-phase AC,ME-RC50 remote,AC inversion and generator charging,,Monitor and control from OEM remote until further notice; supervisor Magnum telemetry disabled
starlink,load,Satellite internet terminal,SpaceX,Starlink Gen 2 (actuated dish),1,installed,~50-100 W AC via stock supply,inverter AC; gRPC local status,WAN uplink for store-and-forward telemetry export,,Only AC load left connected when away (other branch breakers open); target of the away-mode inverter-wake feature. DC powering rejected on buck-boost BOM (odd regulated voltage vs 44.8-58.4V bus swing). See docs/research/away-mode-forwarding.md
pv-array-0,pv,PV modules (array 0),Canadian Solar,CS6X-295/300/305 class,8,installed,~300 W each,4s2p strings,Existing array feeding the Classic 200,,Exact per-module ratings vary across the CS6X family
pv-array-1,pv,PV modules (array 1),Canadian Solar,CS6X-295/300/305 class,12,on-hand,~300 W each,4s3p planned,Second array,,Dry run on the ground pending mount construction
pv0-disconnect,protection,PV array 0 disconnect,existing,2-pole breaker,1,installed,20 A / DC rating TBD,array 0 to Classic PV input,Array-side disconnect,,Confirm model and DC/load-break ratings
classic-batt-disconnect,protection,Classic battery disconnect,existing,2-pole breaker,1,installed,100 A / DC rating TBD,Classic output to 48 V bus,Controller battery-side disconnect,,Confirm model and DC interrupt rating
pv1-disconnect,protection,PV array 1 disconnect,Walfront,DC MCB 1000 V 50 A 2-pole,1,ordered,1000 VDC 50 A,DIN rail,Candidate combined array 1 disconnect,,Verify load-break suitability and polarity/enclosure before install
cc-batt-breaker,protection,Charge-controller battery breaker,MOLLOM,DC MCB 125 V 100 A 1-pole,1,on-hand,125 VDC 100 A,DIN rail,Candidate controller-to-battery protection (array 1 / EPEver),,Side marked 'open for auxiliaries' (clip-on aux-contact/shunt-trip slot; do not open without a matching module). Verify DC interrupt rating, load-break suitability, and that it is non-polarized/bidirectional before install (charging and fault currents flow opposite directions in this position; wire battery to terminal 1, controller to 2, unless polarity marks dictate otherwise)
victron-batt-breaker,protection,Victron battery breaker,TBD,120-125 A DC breaker 80/125 VDC+,1,deferred,120-125 A,DC breaker,Victron 150/85 battery-side protection,,Only needed if the Victron is installed; manual examples use 120 A for 85 A output
pv1-string-fuses,protection,PV string protection,TBD,15 A DC PV fuse/breaker 300-600 VDC,3,needed,15 A per string,fuse holder/breaker,Array 1 per-string positive protection,,Panel max series fuse rating is 15 A
pv1-combiner,protection,Outdoor PV combiner,TBD,3-string combiner,1,needed,sized to final string fusing,combiner box,Array 1 string combining,,Must accept selected string fuses and conductor sizes
heater,temperature-control,Ceramic heater,TBD,48 V 200 W,1,needed,48 V / 200 W,switched 48 V DC,Winter battery preheat,,Use with breaker/manual disconnect plus NC thermal switch and one-shot thermal fuse
thermostat,temperature-control,Thermostat controller,TBD,dual relay heat/cool,1,needed,12 V control preferred,relay outputs,Owns heat/ventilation setpoints; Pi stays supervisory,,
heater-ssr,temperature-control,DC solid-state relay,TBD,MRD-060D10,1,on-hand,60 VDC 10 A class output / control input TBD,12 V control,Heater switching with fail-safe off,,On hand; validate datasheet, input current, heat sinking, and 48 V LiFePO4 voltage margin before final install
heater-breaker,temperature-control,Heater branch breaker,MidNite Solar,MNEPV10 or similar,1,needed,10 A 100-150 VDC,DC breaker,Heater branch protection and service disconnect,,
thermal-cutoff,temperature-control,Resettable thermal cutoff,TBD,NC bimetal switch 60 C,1,needed,60 C,thermal switch in SSR control path,Heater over-temperature backstop,,Mount on heater spreader plate
thermal-fuse,temperature-control,One-shot thermal fuse,TBD,72-84 C cutoff,1,needed,72-84 C,thermal fuse,Final heater safety backstop,,
vent-fan,temperature-control,Ventilation fan,TBD,12 V DC fan,1,needed,12 V,12 V control,Warm-weather enclosure ventilation,,
vent-damper,temperature-control,Vent damper,TBD,NC backdraft or motorized,1,needed,TBD,mechanical / 12 V control,Avoid permanently open winter vent,,
opto-board,control,GPIO optocoupler board,Generic,4-channel PC817 isolation board,1,on-hand,3.6-30 V signal / 10 mA per channel,GPIO isolation,Signal-level isolation only,,Do not switch heater load directly. On-hand 2026-06-13: PC817 4-channel optocoupler isolation / voltage-level adapter (3.6-30 V); acquired as 4-channel vs the 8-channel originally planned
relay-module,control,Relay module,Javino,2-channel high/low trigger (SRD-05DC-SL-C),1,on-hand,5 V coil / 30 VDC 10 A contacts,GPIO trigger / SPDT contacts,Controlled outputs incl. Classic AUX2 charge inhibit,,Prefer high-level trigger and normally-open contacts; document fail-safe state before install. On-hand 2026-06-13: Javino 2-channel optocoupler-isolated relay module; SRD-05DC-SL-C relays (5 V coil)
rj45-breakout-f,bench,RJ45 female screw-terminal breakout,Poyiccot,8P8C female jack to screw terminals,2,on-hand,low-voltage comms,RJ45 female / screw terminal,Bench wiring and probing for CAN/RS485,,
rj45-breakout-m,bench,RJ45 male screw-terminal breakout,Poyiccot,90-degree RJ45 male to screw terminals,1,on-hand,low-voltage comms,RJ45 male / screw terminal,Pinout probing only,,Avoid permanent strain on battery ports
yl128-rs422-ttl,bench,RS422 full-duplex TTL converter,Generic,YL-128,2,on-hand,TTL UART / RS422 4-wire,TTL UART (VCC/GND/RXD/TXD) <-> RS422 (Y Z = TX pair, A B = RX pair),Parts box; no current role,,Confirmed full-duplex RS422 by pinout (Y/Z driver + A/B receiver, no direction pin). Identical symmetric pair = point-to-point extender; matches a pre-USB long-run remote-display/telemetry plan superseded by USB-RS485-at-the-Pi. Cannot cleanly serve our 2-wire RS485 buses (Magnum/EPEver/Cubix); only possible reuse is a passive receive-only tap via A/B into the Pi GPIO UART (Y/Z unconnected)
usb-rs232-dupont,bench,USB-to-TTL-UART adapter (mislabeled RS232),Generic,PL2303 (clone),2,on-hand,USB powered,USB-A / 4-wire Dupont: Black=GND Red=+5V Green=TXD(3.3V) White=RXD - all metered,3.3 V TTL serial console/debug (e.g. Pi GPIO UART); NOT RS232,,"2x found 2026-06-11; PL2303 067b:2303, bcdDevice 3.00 (HXA/clone), no serial - Linux pl2303 driver binds fine, Windows official driver rejects this variant. Metered 2026-06-11: Red-GND=+5.02 V (VCC out), Green-GND idles +3.48 V = 3.3 V TTL so Green=TXD, White=RXD. Mixed-rail: 5 V power but 3.3 V signaling. The 'RS232' label is wrong - cannot drive a true RS232 port (Cubix RS232 idea ruled out; level mismatch would risk damage). When wiring to a 3.3 V target (e.g. Pi GPIO UART) leave Red disconnected or it dumps 5 V into the target rail; RX 5 V-tolerance not guaranteed. No serial -> udev must key on VID:PID or port-path; 067b:2303 differs from SH-U11H EPEver (067b:23a3) but the two identical units collide with each other (need port-path rule)."
gpio-cobbler,bench,GPIO cobbler / ribbon breakout,Generic,40-pin Pi breakout,1,on-hand,3.3 V logic,GPIO ribbon,Bench prototyping,,
res-51,passive,Resistor 51 ohm flameproof,TBD,1/2 W through-hole,10,on-hand,1/2 W,through-hole,Bench stock,,
res-150,passive,Resistor 150 ohm flameproof,TBD,1/2 W through-hole,10,on-hand,1/2 W,through-hole,Bench stock,,
res-360,passive,Resistor 360 ohm flameproof,TBD,1/2 W through-hole,10,on-hand,1/2 W,through-hole,Bench stock,,
res-1k,passive,Resistor 1 kohm,TBD,through-hole,10,on-hand,TBD,through-hole,Bench stock,,
res-10k,passive,Resistor 10 kohm,TBD,through-hole,10,on-hand,TBD,through-hole,DHT22 pull-up; Classic AUX2 pull-up candidate,,
res-100k,passive,Resistor 100 kohm flameproof,TBD,1/4 W through-hole,1,on-hand,1/4 W,through-hole,Bench stock,,Confirm count
res-4k7,passive,Resistor 4.7 kohm,TBD,through-hole,5,needed,TBD,through-hole,DS18B20 1-Wire pull-up,,Approximate with 10k/1k combinations for bench tests if needed
res-120,passive,Resistor 120 ohm,TBD,through-hole,4,needed,TBD,through-hole,CAN termination spares,,
